4.000000000000003553e-02,5.499999999999999334e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.008376108253619563e-02,5.490623615845123817e-01,1.000000000000000000e+00,9.999996556912464918e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.298297345906027831e-04
4.016907820965298637e-02,5.481248634751988424e-01,1.000000000000000222e+00,9.999986227652232218e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.659658897745922576e-03
4.025595114634672456e-02,5.471875082543695701e-01,1.000000000000000000e+00,9.999969012226412879e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.489486918031069956e-03
4.034437965332848819e-02,5.462502985039408010e-01,1.000000000000000000e+00,9.999944910646862972e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.319313224011941760e-03
4.043436348702478256e-02,5.453132368054283141e-01,9.999999999999998890e-01,9.999913922930179222e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.149137244255617259e-03
4.052590239957809537e-02,5.443763257399401034e-01,9.999999999999998890e-01,9.999876049097699005e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.978958407330746731e-03
4.061899613884700777e-02,5.434395678881691616e-01,1.000000000000000000e+00,9.999831289175504789e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.808776141807950669e-03
4.071364444840752661e-02,5.425029658303862634e-01,9.999999999999998890e-01,9.999779643194418588e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.638589876260208786e-03
4.080984706755419467e-02,5.415665221464335266e-01,1.000000000000000000e+00,9.999721111190003064e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.468399039263258141e-03
4.090760373129942451e-02,5.406302394157163071e-01,1.000000000000000000e+00,9.999655693202567086e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.298203059395979977e-03
4.100691417037538589e-02,5.396941202171972041e-01,1.000000000000000000e+00,9.999583389277155732e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.128001365240797846e-03
4.110777811123533798e-02,5.387581671293877328e-01,1.000000000000000000e+00,9.999504199463561394e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.957793385384073118e-03
4.121019527605152000e-02,5.378223827303424409e-01,1.000000000000000000e+00,9.999418123816313786e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.078757854841649010e-02
4.131416538271959205e-02,5.368867695976506926e-01,1.000000000000000000e+00,9.999325162394686606e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.161735628293346367e-02
4.141968814485696981e-02,5.359513303084305624e-01,9.999999999999998890e-01,9.999225315262695313e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.244712601753551404e-02
