1.500000000000000222e-01,4.899999999999999911e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500840051753848936e-01,4.887718768380077128e-01,9.999999999999998890e-01,9.999996556663262037e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.298597646102930060e-04
1.501700485743612257e-01,4.875438947925339050e-01,1.000000000000000000e+00,9.999986226655421806e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.659718957723263022e-03
1.502581299599072828e-01,4.863160572462624787e-01,1.000000000000000000e+00,9.999969009983591395e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.489577007841980733e-03
1.503482490893884860e-01,4.850883675814794960e-01,1.000000000000000000e+00,9.999944906659626875e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.319433343470304821e-03
1.504404057145566354e-01,4.838608291800634009e-01,1.000000000000000222e+00,9.999913916700130523e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.149287393113271737e-03
1.505345995815500215e-01,4.826334454234760818e-01,1.000000000000000000e+00,9.999876040126440824e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.979138585277496747e-03
1.506308304308962009e-01,4.814062196927535453e-01,1.000000000000000000e+00,9.999831276964642468e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.808986348471560125e-03
1.507290979975112188e-01,4.801791553684962577e-01,1.000000000000000000e+00,9.999779627245565239e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.638830111206401804e-03
1.508294020107001643e-01,4.789522558308600964e-01,1.000000000000000222e+00,9.999721091004776241e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.468669301995721661e-03
1.509317421941587245e-01,4.777255244595473016e-01,1.000000000000000000e+00,9.999655668282586563e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.298503349356362024e-03
1.510361182659737400e-01,4.764989646337963736e-01,1.000000000000000000e+00,9.999583359124053494e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.128331681808715334e-03
1.511425299386233156e-01,4.752725797323738011e-01,1.000000000000000000e+00,9.999504163578971649e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.958153727877101444e-03
1.512509769189789299e-01,4.740463731335637920e-01,9.999999999999998890e-01,9.999418081701881844e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.078796891609017441e-02
1.513614589083049911e-01,4.728203482151595582e-01,1.000000000000000000e+00,9.999325113552065547e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.161777667498130676e-02
1.514739756022600581e-01,4.715945083544538785e-01,1.000000000000000000e+00,9.999225259193545989e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.244757643308899535e-02
1.515885266908980622e-01,4.703688569282297172e-01,9.999999999999998890e-01,9.999118518695090385e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.327736761895723788e-02
1.517051118586684177e-01,4.691433973127508983e-01,9.999999999999998890e-01,9.999004892130207711e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.410714966113594052e-02
1.518237307844179096e-01,4.679181328837530018e-01,1.000000000000000000e+00,9.998884379577148707e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.493692198818130645e-02
1.519443831413902490e-01,4.666930670164338713e-01,1.000000000000000000e+00,9.998756981118905873e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.576668402865622626e-02
1.520670685972286273e-01,4.654682030854442876e-01,1.000000000000000000e+00,9.998622696843214586e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.659643521113067510e-02
1.521917868139748276e-01,4.642435444648789211e-01,1.000000000000000000e+00,9.998481526842551981e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.742617496418211523e-02
1.523185374480717780e-01,4.630190945282667281e-01,1.000000000000000000e+00,9.998333471214138068e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.825590271639586371e-02
1.524473201503631081e-01,4.617948566485620132e-01,9.999999999999998890e-01,9.998178530059932401e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.908561789636551223e-02
1.525781345660955912e-01,4.605708341981346599e-01,1.000000000000000000e+00,9.998016703486639623e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.991531993269330530e-02
1.527109803349180339e-01,4.593470305487613592e-01,1.000000000000000000e+00,9.997847991605702811e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.074500825399054962e-02
1.528458570908851621e-01,4.581234490716160068e-01,9.999999999999998890e-01,9.997672394533309026e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.157468228887798878e-02
1.529827644624558447e-01,4.569000931372603214e-01,1.000000000000000000e+00,9.997489912390387090e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.240434146598619877e-02
1.531217020724953137e-01,4.556769661156350737e-01,1.000000000000000000e+00,9.997300545302605368e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.323398521395600089e-02
1.532626695382769411e-01,4.544540713760500950e-01,1.000000000000000000e+00,9.997104293400375097e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.406361296143883291e-02
